phrase|type
20 bill|co-occurring
20 insert|co-occurring
20 line|co-occurring
20 minut|co-occurring
20 p|co-occurring
20 page|co-occurring
20 propos|co-occurring
20 senat|co-occurring
20 strike|co-occurring
20 u|co-occurring
20 word|co-occurring
20510 inform|co-occurring
21 22|co-occurring
21 bill|co-occurring
21 insert|co-occurring
21 line|co-occurring
21 member|co-occurring
21 page|co-occurring
21 propos|co-occurring
21 senat|co-occurring
21 strike|co-occurring
21 word|co-occurring
218 member|co-occurring
21st day|co-occurring
22 23|co-occurring
22 bill|co-occurring
22 follow|co-occurring
22 insert|co-occurring
22 line|co-occurring
22 page|co-occurring
22 propos|co-occurring
22 senat|co-occurring
22 strike|co-occurring
22 u|co-occurring
22 word|co-occurring
23 24|co-occurring
23 insert|co-occurring
23 line|co-occurring
23 page|co-occurring
23 propos|co-occurring
23 senat|co-occurring
23 strike|co-occurring
23 unit|co-occurring
23 word|co-occurring
23d day|co-occurring
24 25|co-occurring
24 insert|co-occurring
24 line|co-occurring
24 page|co-occurring
24 senat|co-occurring
24 strike|co-occurring
24 word|co-occurring
24th day|co-occurring
25 26|co-occurring
25 amend|co-occurring
25 bill|co-occurring
25 insert|co-occurring
25 line|co-occurring
25 member|co-occurring
25 minut|co-occurring
25 page|co-occurring
25 senat|co-occurring
25 strike|co-occurring
25 word|co-occurring
25th amend|co-occurring
26 27|co-occurring
26 line|co-occurring
26 senat|co-occurring
27 28|co-occurring
27 line|co-occurring
27 senat|co-occurring
27th day|co-occurring
28 29|co-occurring
28 line|co-occurring
28 senat|co-occurring
28 unit|co-occurring
29 1930|co-occurring
29 30|co-occurring
29 line|co-occurring
29th day|co-occurring
2d day|co-occurring
2d session|co-occurring
3 15|co-occurring
3 1883|co-occurring
3 1887|co-occurring
3 1916|co-occurring
3 30|co-occurring
3 45|co-occurring
3 addit|co-occurring
3 agre|co-occurring
3 amend|co-occurring
3 articl|co-occurring
3 b|co-occurring
3 begin|co-occurring
3 bill|co-occurring
3 committe|co-occurring
3 first|co-occurring
3 follow|co-occurring
3 h|co-occurring
3 hour|co-occurring
3 hous|co-occurring
3 insert|co-occurring
3 legisl|co-occurring
3 line|co-occurring
3 minut|co-occurring
3 oclock|co-occurring
3 offer|co-occurring
3 p|co-occurring
3 page|co-occurring
3 paragraph|co-occurring
3 print|co-occurring
3 propos|co-occurring
3 public|co-occurring
3 purpos|co-occurring
3 read|co-occurring
3 rule|co-occurring
3 section|co-occurring
3 senat|co-occurring
3 shall|co-occurring
3 titl|co-occurring
30 1890|co-occurring
30 1913|co-occurring
30 1914|co-occurring
30 1916|co-occurring
