phrase|type
bill subsequ|co-occurring
bill substanc|co-occurring
bill suggest|co-occurring
bill supplement|co-occurring
bill suspend|co-occurring
bill suspens|co-occurring
bill sustain|co-occurring
bill t|co-occurring
bill tabl|co-occurring
bill taken|co-occurring
bill temporarili|co-occurring
bill text|co-occurring
bill think|co-occurring
bill thorough|co-occurring
bill thursday|co-occurring
bill tile|co-occurring
bill tomorrow|co-occurring
bill tonight|co-occurring
bill tuesday|co-occurring
bill twice|co-occurring
bill unabl|co-occurring
bill understand|co-occurring
bill understood|co-occurring
bill undoubt|co-occurring
bill unfinish|co-occurring
bill union|co-occurring
bill unless|co-occurring
bill upon|co-occurring
bill various|co-occurring
bill view|co-occurring
bill violat|co-occurring
bill waiv|co-occurring
bill wednesday|co-occurring
bill whenev|co-occurring
bill whether|co-occurring
bill wish|co-occurring
bill withdraw|co-occurring
bill withdrawn|co-occurring
bill within|co-occurring
bill word|co-occurring
bill yea|co-occurring
bill yesterday|co-occurring
bill yet|co-occurring
bill yield|co-occurring
bind senat|co-occurring
bingaman amend|co-occurring
bloc agre|co-occurring
bloc amend|co-occurring
bloc ask|co-occurring
bloc bill|co-occurring
bloc calendar|co-occurring
bloc committe|co-occurring
bloc consid|co-occurring
bloc consider|co-occurring
bloc follow|co-occurring
bloc motion|co-occurring
bloc presid|co-occurring
bloc question|co-occurring
bloc senat|co-occurring
bloc statement|co-occurring
bloc vote|co-occurring
block amend|co-occurring
board amend|co-occurring
board canvass|co-occurring
board commiss|co-occurring
board shall|co-occurring
board visitor|co-occurring
bodi action|co-occurring
bodi amend|co-occurring
bodi appoint|co-occurring
bodi ask|co-occurring
bodi bill|co-occurring
bodi consider|co-occurring
bodi constitut|co-occurring
bodi cours|co-occurring
bodi desir|co-occurring
bodi exist|co-occurring
bodi matter|co-occurring
bodi may|co-occurring
bodi offer|co-occurring
bodi order|co-occurring
bodi point|co-occurring
bodi power|co-occurring
bodi question|co-occurring
bodi record|co-occurring
bodi refer|co-occurring
bodi report|co-occurring
bodi requir|co-occurring
bodi resolut|co-occurring
bodi right|co-occurring
bodi rule|co-occurring
bodi shall|co-occurring
bodi subject|co-occurring
bodi therefor|co-occurring
bodi upon|co-occurring
bond amend|co-occurring
bonus bill|co-occurring
book estim|co-occurring
boren amend|co-occurring
bottom page|co-occurring
bound rule|co-occurring
bound take|co-occurring
bowman act|co-occurring
boxer amend|co-occurring
bradley amend|co-occurring
branch amend|co-occurring
branch appropri|co-occurring
branch fiscal|co-occurring
branch legislatur|co-occurring
branch subject|co-occurring
break rule|co-occurring
breaux amend|co-occurring
bricker amend|co-occurring
bridg across|co-occurring
bridg bill|co-occurring
brief amend|co-occurring
brief articl|co-occurring
brief bill|co-occurring
brief colloquy|co-occurring
brief comment|co-occurring
brief discuss|co-occurring
brief editori|co-occurring
brief excerpt|co-occurring
brief explan|co-occurring
brief observ|co-occurring
brief period|co-occurring
brief possibl|co-occurring
brief question|co-occurring
brief statement|co-occurring
brief will|co-occurring
briefli amend|co-occurring
briefli call|co-occurring
briefli can|co-occurring
briefli mr|co-occurring
briefli point|co-occurring
briefli question|co-occurring
briefli reason|co-occurring
briefli senat|co-occurring
briefli upon|co-occurring
briefli will|co-occurring
bring amend|co-occurring
bring committe|co-occurring
bring confer|co-occurring
bring consider|co-occurring
bring debat|co-occurring
bring h|co-occurring
bring hous|co-occurring
bring question|co-occurring
bring report|co-occurring
bring rule|co-occurring
bring senat|co-occurring
bring time|co-occurring
bring vote|co-occurring
bring within|co-occurring
british hous|co-occurring
brook amend|co-occurring
broomfield amend|co-occurring
brought amend|co-occurring
brought committe|co-occurring
brought consider|co-occurring
brought discuss|co-occurring
brought hous|co-occurring
brought report|co-occurring
brought resolut|co-occurring
brought rule|co-occurring
brought suspens|co-occurring
brought time|co-occurring
brought vote|co-occurring
brought way|co-occurring
brought will|co-occurring
brown amend|co-occurring
budget act|co-occurring
budget constitut|co-occurring
budget point|co-occurring
budget u|co-occurring
budget waiver|co-occurring
build amend|co-occurring
build ask|co-occurring
build begin|co-occurring
build bill|co-occurring
build committe|co-occurring
build conduct|co-occurring
build follow|co-occurring
build ground|co-occurring
build hear|co-occurring
build inform|co-occurring
build room|co-occurring
build thereon|co-occurring
bumper amend|co-occurring
bureaus board|co-occurring
burton amend|co-occurring
busi 10|co-occurring
busi 12|co-occurring
busi 20|co-occurring
busi 3|co-occurring
busi 4|co-occurring
busi act|co-occurring
busi agre|co-occurring
busi also|co-occurring
busi amend|co-occurring
busi appropri|co-occurring
busi author|co-occurring
busi bill|co-occurring
busi bodi|co-occurring
busi call|co-occurring
busi close|co-occurring
busi complet|co-occurring
busi conclud|co-occurring
busi confer|co-occurring
busi connect|co-occurring
busi consider|co-occurring
busi cours|co-occurring
busi day|co-occurring
busi demand|co-occurring
busi desir|co-occurring
busi dispos|co-occurring
busi entrepreneurship|co-occurring
busi exceed|co-occurring
busi expir|co-occurring
busi extend|co-occurring
busi friday|co-occurring
busi gentleman|co-occurring
busi hour|co-occurring
busi hous|co-occurring
busi member|co-occurring
busi monday|co-occurring
busi morn|co-occurring
busi move|co-occurring
busi open|co-occurring
busi pair|co-occurring
busi period|co-occurring
busi permit|co-occurring
busi point|co-occurring
busi present|co-occurring
busi privat|co-occurring
busi proceed|co-occurring
busi purpos|co-occurring
busi remain|co-occurring
busi return|co-occurring
busi s|co-occurring
busi session|co-occurring
busi shall|co-occurring
busi speaker|co-occurring
busi special|co-occurring
busi statement|co-occurring
busi suggest|co-occurring
busi temporarili|co-occurring
busi therefor|co-occurring
busi thursday|co-occurring
busi time|co-occurring
busi today|co-occurring
busi tomorrow|co-occurring
busi tonight|co-occurring
busi tuesday|co-occurring
busi understand|co-occurring
busi upon|co-occurring
busi vote|co-occurring
busi wednesday|co-occurring
busi whatev|co-occurring
busi wish|co-occurring
busi yesterday|co-occurring
busi yet|co-occurring
bypass committe|co-occurring
byrd amend|co-occurring
byrd jr|co-occurring
byrd mr|co-occurring
byrd rule|co-occurring
byrd west|co-occurring
byth senat|co-occurring
c 20510|co-occurring
c appropri|co-occurring
c byrd|co-occurring
c hous|co-occurring
c insert|co-occurring
c page|co-occurring
c rule|co-occurring
c sec|co-occurring
c senat|co-occurring
calendar accompani|co-occurring
calendar advers|co-occurring
calendar ask|co-occurring
calendar begin|co-occurring
calendar committe|co-occurring
calendar consid|co-occurring
calendar consider|co-occurring
calendar dispens|co-occurring
calendar follow|co-occurring
calendar go|co-occurring
calendar hous|co-occurring
calendar item|co-occurring
calendar may|co-occurring
calendar mr|co-occurring
calendar nomin|co-occurring
calendar nos|co-occurring
calendar now|co-occurring
calendar object|co-occurring
calendar one|co-occurring
calendar pass|co-occurring
calendar shall|co-occurring
calendar sinc|co-occurring
calendar taken|co-occurring
calendar think|co-occurring
calendar time|co-occurring
calendar today|co-occurring
calendar tomorrow|co-occurring
calendar unanim|co-occurring
calendar wednesday|co-occurring
calendar will|co-occurring
california 5|co-occurring
california absent|co-occurring
california agre|co-occurring
california allow|co-occurring
california amend|co-occurring
california ask|co-occurring
california call|co-occurring
california chair|co-occurring
california chairman|co-occurring
california committe|co-occurring
california desir|co-occurring
california distinguish|co-occurring
california gentleman|co-occurring
california hous|co-occurring
california make|co-occurring
california may|co-occurring
california member|co-occurring
california move|co-occurring
california mr|co-occurring
california mrs|co-occurring
california ms|co-occurring
california necessarili|co-occurring
california object|co-occurring
california offer|co-occurring
california pend|co-occurring
california present|co-occurring
california propos|co-occurring
california purpos|co-occurring
california put|co-occurring
california question|co-occurring
california rais|co-occurring
california rank|co-occurring
california recogn|co-occurring
california refer|co-occurring
california right|co-occurring
california senat|co-occurring
california substitut|co-occurring
california suggest|co-occurring
california time|co-occurring
california understand|co-occurring
california unit|co-occurring
california vote|co-occurring
california whether|co-occurring
california will|co-occurring
california wish|co-occurring
california yea|co-occurring
california yield|co-occurring
call act|co-occurring
call also|co-occurring
call ask|co-occurring
call away|co-occurring
call bill|co-occurring
call call|co-occurring
call can|co-occurring
call certain|co-occurring
call chamber|co-occurring
call charg|co-occurring
call conclud|co-occurring
call confer|co-occurring
call consent|co-occurring
call consid|co-occurring
call constitut|co-occurring
call convent|co-occurring
call day|co-occurring
call debat|co-occurring
call desir|co-occurring
call discuss|co-occurring
call dispens|co-occurring
call distinguish|co-occurring
call earli|co-occurring
call either|co-occurring
call equal|co-occurring
call execut|co-occurring
call extra|co-occurring
call fact|co-occurring
call floor|co-occurring
call follow|co-occurring
call general|co-occurring
call h|co-occurring
call hear|co-occurring
call hope|co-occurring
call hous|co-occurring
call inform|co-occurring
call joint|co-occurring
call just|co-occurring
call know|co-occurring
call later|co-occurring
call legisl|co-occurring
call like|co-occurring
call made|co-occurring
call make|co-occurring
call matter|co-occurring
call may|co-occurring
call measur|co-occurring
call moment|co-occurring
call morn|co-occurring
call mr|co-occurring
call must|co-occurring
call now|co-occurring
call number|co-occurring
call pair|co-occurring
call pass|co-occurring
call point|co-occurring
call privat|co-occurring
call privileg|co-occurring
call progress|co-occurring
call purpos|co-occurring
call read|co-occurring
call record|co-occurring
call request|co-occurring
call rescind|co-occurring
call resolut|co-occurring
call rest|co-occurring
call right|co-occurring
call role|co-occurring
call secretari|co-occurring
call section|co-occurring
call session|co-occurring
call sever|co-occurring
call shall|co-occurring
call speaker|co-occurring
call special|co-occurring
call state|co-occurring
call suspend|co-occurring
call suspens|co-occurring
call teller|co-occurring
call think|co-occurring
call three|co-occurring
call tile|co-occurring
call time|co-occurring
call today|co-occurring
call tomorrow|co-occurring
call transfer|co-occurring
call unanim|co-occurring
call understand|co-occurring
call unfinish|co-occurring
call waiv|co-occurring
call want|co-occurring
call way|co-occurring
call will|co-occurring
call without|co-occurring
call yesterday|co-occurring
came committe|co-occurring
came consider|co-occurring
came hous|co-occurring
came late|co-occurring
came rule|co-occurring
came suprem|co-occurring
campaign expenditur|co-occurring
can accept|co-occurring
can advis|co-occurring
can agre|co-occurring
can agreement|co-occurring
can anoth|co-occurring
can answer|co-occurring
can arriv|co-occurring
can ascertain|co-occurring
can attent|co-occurring
can bill|co-occurring
can bind|co-occurring
can busi|co-occurring
can chair|co-occurring
can chairman|co-occurring
can clarifi|co-occurring
can committe|co-occurring
can confer|co-occurring
can consent|co-occurring
can cours|co-occurring
can deleg|co-occurring
can demand|co-occurring
can depriv|co-occurring
can desir|co-occurring
can dispens|co-occurring
can dispos|co-occurring
can entertain|co-occurring
can examin|co-occurring
can except|co-occurring
can expedit|co-occurring
can explain|co-occurring
can finish|co-occurring
can floor|co-occurring
can frame|co-occurring
can hear|co-occurring
can heard|co-occurring
can hous|co-occurring
can indic|co-occurring
can inform|co-occurring
can inquir|co-occurring
can insert|co-occurring
can interrupt|co-occurring
can investig|co-occurring
can later|co-occurring
can lie|co-occurring
can limit|co-occurring
can matter|co-occurring
can member|co-occurring
can misunderstand|co-occurring
can object|co-occurring
can opportun|co-occurring
can perfect|co-occurring
can present|co-occurring
can print|co-occurring
can proceed|co-occurring
can propos|co-occurring
can rais|co-occurring
can read|co-occurring
can recogn|co-occurring
can record|co-occurring
can refer|co-occurring
can reject|co-occurring
can repli|co-occurring
can report|co-occurring
can request|co-occurring
can reserv|co-occurring
can resum|co-occurring
can rule|co-occurring
can separ|co-occurring
can settl|co-occurring
can shall|co-occurring
can submit|co-occurring
can substitut|co-occurring
can two|co-occurring
can unanim|co-occurring
can understood|co-occurring
can unless|co-occurring
can upon|co-occurring
can voic|co-occurring
can waiv|co-occurring
can withdrawn|co-occurring
canal bill|co-occurring
candid hous|co-occurring
cannon preced|co-occurring
canvass board|co-occurring
canvass vote|co-occurring
capac senat|co-occurring
care amend|co-occurring
care committe|co-occurring
care discuss|co-occurring
care enter|co-occurring
care gentleman|co-occurring
care hear|co-occurring
care heard|co-occurring
care matter|co-occurring
care object|co-occurring
care offer|co-occurring
care take|co-occurring
care yield|co-occurring
carl andersen|co-occurring
carolina 5|co-occurring
carolina absent|co-occurring
carolina agre|co-occurring
carolina amend|co-occurring
carolina ask|co-occurring
carolina bill|co-occurring
carolina call|co-occurring
carolina can|co-occurring
carolina chair|co-occurring
carolina chairman|co-occurring
carolina colleagu|co-occurring
carolina committe|co-occurring
carolina correct|co-occurring
carolina desir|co-occurring
carolina distinguish|co-occurring
carolina floor|co-occurring
carolina gentleman|co-occurring
carolina go|co-occurring
carolina hous|co-occurring
carolina like|co-occurring
carolina made|co-occurring
carolina make|co-occurring
carolina may|co-occurring
carolina member|co-occurring
carolina move|co-occurring
carolina mr|co-occurring
carolina ms|co-occurring
carolina necessarili|co-occurring
carolina now|co-occurring
carolina object|co-occurring
carolina offer|co-occurring
carolina pair|co-occurring
carolina present|co-occurring
carolina propos|co-occurring
carolina question|co-occurring
carolina rank|co-occurring
carolina recogn|co-occurring
carolina refer|co-occurring
carolina senat|co-occurring
carolina suggest|co-occurring
carolina take|co-occurring
carolina time|co-occurring
carolina understand|co-occurring
carolina vote|co-occurring
carolina whether|co-occurring
carolina will|co-occurring
carolina wish|co-occurring
carolina yea|co-occurring
carolina yield|co-occurring
carri agreement|co-occurring
carri amend|co-occurring
carri appropri|co-occurring
carri bill|co-occurring
carri committe|co-occurring
carri exist|co-occurring
carri hous|co-occurring
carri instruct|co-occurring
carri investig|co-occurring
carri languag|co-occurring
carri last|co-occurring
carri major|co-occurring
carri matter|co-occurring
carri resolut|co-occurring
carri right|co-occurring
carri rule|co-occurring
carri senat|co-occurring
carri suggest|co-occurring
carri view|co-occurring
carri vote|co-occurring
carri will|co-occurring
case adopt|co-occurring
case appeal|co-occurring
case ask|co-occurring
case calendar|co-occurring
case charact|co-occurring
case consid|co-occurring
case consider|co-occurring
case constitut|co-occurring
case contest|co-occurring
case exact|co-occurring
case examin|co-occurring
case fulli|co-occurring
case gentleman|co-occurring
case jurisdict|co-occurring
case kind|co-occurring
case matter|co-occurring
case minor|co-occurring
case move|co-occurring
case mr|co-occurring
case object|co-occurring
case offer|co-occurring
case pass|co-occurring
case pension|co-occurring
case preced|co-occurring
case read|co-occurring
case refer|co-occurring
case remov|co-occurring
case rule|co-occurring
case submit|co-occurring
case suggest|co-occurring
case vacanc|co-occurring
case wish|co-occurring
cast elect|co-occurring
cast one|co-occurring
cast reflect|co-occurring
caucus meet|co-occurring
caus committe|co-occurring
caus read|co-occurring
ceas convers|co-occurring
ceas effect|co-occurring
census bill|co-occurring
census committe|co-occurring
cent amend|co-occurring
cent insert|co-occurring
certain accept|co-occurring
certain alien|co-occurring
certain appropri|co-occurring
certain ask|co-occurring
certain bill|co-occurring
certain call|co-occurring
certain chairman|co-occurring
certain charg|co-occurring
certain claim|co-occurring
certain commit|co-occurring
certain committe|co-occurring
certain construct|co-occurring
certain conting|co-occurring
certain court|co-occurring
certain data|co-occurring
certain document|co-occurring
certain duti|co-occurring
certain employe|co-occurring
certain excerpt|co-occurring
certain execut|co-occurring
certain gentlemen|co-occurring
certain german|co-occurring
certain hour|co-occurring
certain hous|co-occurring
certain independ|co-occurring
certain inform|co-occurring
certain investig|co-occurring
certain land|co-occurring
certain languag|co-occurring
certain legisl|co-occurring
certain length|co-occurring
certain letter|co-occurring
certain materi|co-occurring
certain measur|co-occurring
certain member|co-occurring
certain mr|co-occurring
certain newspap|co-occurring
certain object|co-occurring
certain offer|co-occurring
certain offic|co-occurring
certain order|co-occurring
certain paper|co-occurring
certain privileg|co-occurring
certain properti|co-occurring
certain propos|co-occurring
certain public|co-occurring
certain real|co-occurring
certain remark|co-occurring
certain report|co-occurring
certain rule|co-occurring
certain shall|co-occurring
certain soldier|co-occurring
certain statement|co-occurring
certain subject|co-occurring
certain tabl|co-occurring
certain treati|co-occurring
certain understood|co-occurring
certain vote|co-occurring
certain whether|co-occurring
certain widow|co-occurring
certain within|co-occurring
certain yield|co-occurring
certif governor|co-occurring
chafe amend|co-occurring
chair abl|co-occurring
chair accord|co-occurring
chair act|co-occurring
chair agre|co-occurring
chair allow|co-occurring
chair alreadi|co-occurring
chair also|co-occurring
chair amend|co-occurring
chair answer|co-occurring
chair appreci|co-occurring
chair ask|co-occurring
chair assum|co-occurring
chair attent|co-occurring
chair awar|co-occurring
chair bear|co-occurring
chair beg|co-occurring
chair believ|co-occurring
chair bill|co-occurring
chair capac|co-occurring
chair certain|co-occurring
chair clear|co-occurring
chair clerk|co-occurring
chair consid|co-occurring
chair correct|co-occurring
chair count|co-occurring
chair cours|co-occurring
chair decis|co-occurring
chair demand|co-occurring
chair design|co-occurring
chair desir|co-occurring
chair determin|co-occurring
chair entertain|co-occurring
chair examin|co-occurring
chair fact|co-occurring
chair feel|co-occurring
chair find|co-occurring
chair gentleman|co-occurring
chair gentlewoman|co-occurring
chair give|co-occurring
chair glad|co-occurring
chair go|co-occurring
chair heard|co-occurring
chair held|co-occurring
chair hold|co-occurring
chair hope|co-occurring
chair hous|co-occurring
chair howev|co-occurring
chair impress|co-occurring
chair inclin|co-occurring
chair indic|co-occurring
chair indulg|co-occurring
chair inform|co-occurring
chair inquir|co-occurring
chair intend|co-occurring
chair just|co-occurring
chair know|co-occurring
chair laid|co-occurring
chair last|co-occurring
chair let|co-occurring
chair like|co-occurring
chair man|co-occurring
chair matter|co-occurring
chair might|co-occurring
chair moment|co-occurring
chair move|co-occurring
chair much|co-occurring
chair must|co-occurring
chair object|co-occurring
chair observ|co-occurring
chair one|co-occurring
chair opinion|co-occurring
chair order|co-occurring
chair overrul|co-occurring
chair pass|co-occurring
chair permit|co-occurring
chair pleas|co-occurring
chair point|co-occurring
chair postpon|co-occurring
chair prepar|co-occurring
chair present|co-occurring
chair prior|co-occurring
chair rank|co-occurring
chair read|co-occurring
chair readi|co-occurring
chair refer|co-occurring
chair remark|co-occurring
chair remind|co-occurring
chair request|co-occurring
chair reserv|co-occurring
chair respect|co-occurring
chair right|co-occurring
chair said|co-occurring
chair see|co-occurring
chair simpli|co-occurring
chair speaker|co-occurring
chair suggest|co-occurring
chair suppos|co-occurring
chair thought|co-occurring
chair time|co-occurring
chair tri|co-occurring
chair twothird|co-occurring
chair understand|co-occurring
chair understood|co-occurring
chair upon|co-occurring
chair want|co-occurring
chair well|co-occurring
chair whether|co-occurring
chair wish|co-occurring
chair yield|co-occurring
chairman 1|co-occurring
chairman 2|co-occurring
chairman abl|co-occurring
chairman absolut|co-occurring
chairman accept|co-occurring
chairman accord|co-occurring
chairman addit|co-occurring
chairman address|co-occurring
chairman adopt|co-occurring
chairman agre|co-occurring
chairman alreadi|co-occurring
chairman also|co-occurring
chairman although|co-occurring
chairman amend|co-occurring
chairman among|co-occurring
chairman anoth|co-occurring
chairman answer|co-occurring
chairman appear|co-occurring
chairman appoint|co-occurring
chairman appreci|co-occurring
chairman appropri|co-occurring
chairman argument|co-occurring
chairman assur|co-occurring
chairman attempt|co-occurring
chairman attent|co-occurring
chairman author|co-occurring
chairman awar|co-occurring
chairman begin|co-occurring
chairman behalf|co-occurring
chairman believ|co-occurring
chairman bill|co-occurring
chairman certain|co-occurring
chairman chair|co-occurring
chairman charg|co-occurring
chairman claim|co-occurring
chairman clear|co-occurring
chairman close|co-occurring
chairman colleagu|co-occurring
chairman come|co-occurring
chairman commend|co-occurring
chairman comment|co-occurring
chairman conced|co-occurring
chairman concern|co-occurring
chairman conclud|co-occurring
chairman conclus|co-occurring
chairman confer|co-occurring
chairman congratul|co-occurring
chairman consid|co-occurring
chairman consider|co-occurring
chairman constitut|co-occurring
chairman continu|co-occurring
chairman correct|co-occurring
chairman cours|co-occurring
chairman declin|co-occurring
chairman delight|co-occurring
chairman demand|co-occurring
chairman desir|co-occurring
chairman differ|co-occurring
chairman difficult|co-occurring
chairman distinguish|co-occurring
chairman done|co-occurring
chairman doubt|co-occurring
chairman due|co-occurring
chairman earlier|co-occurring
chairman effect|co-occurring
chairman entir|co-occurring
chairman everi|co-occurring
chairman examin|co-occurring
chairman expect|co-occurring
chairman explain|co-occurring
chairman express|co-occurring
chairman fact|co-occurring
chairman fair|co-occurring
chairman far|co-occurring
chairman favor|co-occurring
chairman feel|co-occurring
chairman financ|co-occurring
chairman find|co-occurring
chairman floor|co-occurring
chairman follow|co-occurring
chairman friend|co-occurring
chairman fulli|co-occurring
chairman general|co-occurring
chairman gentleman|co-occurring
chairman gentlemen|co-occurring
chairman gentlewoman|co-occurring
chairman get|co-occurring
chairman given|co-occurring
chairman glad|co-occurring
chairman go|co-occurring
chairman good|co-occurring
chairman happen|co-occurring
chairman happi|co-occurring
chairman hard|co-occurring
chairman heard|co-occurring
chairman held|co-occurring
chairman hope|co-occurring
chairman import|co-occurring
chairman increas|co-occurring
chairman indic|co-occurring
chairman inform|co-occurring
chairman insist|co-occurring
chairman intend|co-occurring
chairman intent|co-occurring
chairman interest|co-occurring
chairman introduc|co-occurring
chairman investig|co-occurring
chairman item|co-occurring
chairman join|co-occurring
chairman judgment|co-occurring
chairman just|co-occurring
chairman kind|co-occurring
chairman languag|co-occurring
chairman last|co-occurring
chairman law|co-occurring
chairman leav|co-occurring
chairman let|co-occurring
chairman letter|co-occurring
chairman like|co-occurring
chairman littl|co-occurring
chairman look|co-occurring
chairman made|co-occurring
chairman major|co-occurring
chairman matter|co-occurring
chairman mean|co-occurring
chairman mere|co-occurring
chairman might|co-occurring
chairman moment|co-occurring
chairman move|co-occurring
chairman much|co-occurring
chairman naval|co-occurring
chairman never|co-occurring
chairman next|co-occurring
chairman note|co-occurring
chairman noth|co-occurring
chairman notic|co-occurring
chairman number|co-occurring
chairman object|co-occurring
chairman obvious|co-occurring
chairman offer|co-occurring
chairman one|co-occurring
chairman opinion|co-occurring
chairman opportun|co-occurring
chairman oppos|co-occurring
chairman order|co-occurring
chairman origin|co-occurring
chairman outset|co-occurring
chairman parliamentari|co-occurring
chairman part|co-occurring
chairman particular|co-occurring
chairman pass|co-occurring
chairman pend|co-occurring
chairman perfect|co-occurring
chairman perhap|co-occurring
chairman permit|co-occurring
chairman person|co-occurring
chairman pleas|co-occurring
chairman pleasur|co-occurring
chairman point|co-occurring
chairman posit|co-occurring
chairman possibl|co-occurring
chairman prepar|co-occurring
chairman present|co-occurring
chairman privileg|co-occurring
chairman problem|co-occurring
chairman proper|co-occurring
chairman propos|co-occurring
chairman proposit|co-occurring
chairman provid|co-occurring
chairman provis|co-occurring
chairman purpos|co-occurring
chairman quit|co-occurring
chairman rais|co-occurring
chairman rank|co-occurring
chairman rather|co-occurring
chairman real|co-occurring
chairman realiz|co-occurring
chairman realli|co-occurring
chairman reason|co-occurring
chairman receiv|co-occurring
chairman reclaim|co-occurring
chairman recommend|co-occurring
chairman refer|co-occurring
chairman regard|co-occurring
chairman regret|co-occurring
chairman reluct|co-occurring
chairman remark|co-occurring
chairman renew|co-occurring
chairman repeat|co-occurring
chairman report|co-occurring
chairman reserv|co-occurring
chairman resolut|co-occurring
chairman respect|co-occurring
chairman respons|co-occurring
chairman right|co-occurring
chairman rollcal|co-occurring
chairman rule|co-occurring
chairman said|co-occurring
chairman second|co-occurring
chairman section|co-occurring
chairman see|co-occurring
chairman seek|co-occurring
chairman seem|co-occurring
chairman select|co-occurring
chairman sever|co-occurring
chairman side|co-occurring
chairman simpl|co-occurring
chairman simpli|co-occurring
chairman sinc|co-occurring
chairman sincer|co-occurring
chairman situat|co-occurring
chairman someth|co-occurring
chairman sorri|co-occurring
chairman speak|co-occurring
chairman statement|co-occurring
chairman still|co-occurring
chairman subject|co-occurring
chairman submit|co-occurring
chairman substitut|co-occurring
chairman suggest|co-occurring
chairman support|co-occurring
chairman suppos|co-occurring
chairman sure|co-occurring
chairman surpris|co-occurring
chairman taken|co-occurring
chairman talk|co-occurring
chairman thank|co-occurring
chairman thing|co-occurring
chairman thought|co-occurring
chairman three|co-occurring
chairman tile|co-occurring
chairman time|co-occurring
chairman told|co-occurring
chairman tri|co-occurring
chairman true|co-occurring
chairman trust|co-occurring
chairman two|co-occurring
chairman understand|co-occurring
chairman understood|co-occurring
chairman unfortun|co-occurring
chairman unless|co-occurring
chairman upon|co-occurring
chairman urg|co-occurring
chairman use|co-occurring
chairman view|co-occurring
chairman want|co-occurring
chairman way|co-occurring
chairman whether|co-occurring
chairman whole|co-occurring
chairman wish|co-occurring
chairman withdraw|co-occurring
chairman wonder|co-occurring
chairman word|co-occurring
chairman yesterday|co-occurring
chairman yield|co-occurring
chairmen committe|co-occurring
chamber action|co-occurring
chamber answer|co-occurring
chamber ask|co-occurring
chamber bill|co-occurring
chamber desir|co-occurring
chamber discuss|co-occurring
chamber gentleman|co-occurring
chamber hear|co-occurring
chamber joint|co-occurring
chamber just|co-occurring
chamber like|co-occurring
chamber may|co-occurring
chamber moment|co-occurring
chamber mr|co-occurring
chamber present|co-occurring
chamber senat|co-occurring
chamber shall|co-occurring
chamber take|co-occurring
chamber time|co-occurring
chamber understand|co-occurring
chamber vote|co-occurring
chamber wish|co-occurring
chanc amend|co-occurring
chanc consid|co-occurring
chanc debat|co-occurring
chanc discuss|co-occurring
chanc examin|co-occurring
chanc heard|co-occurring
chanc offer|co-occurring
chanc speak|co-occurring
chanc vote|co-occurring
chang action|co-occurring
chang amend|co-occurring
chang amount|co-occurring
chang appropri|co-occurring
chang ask|co-occurring
chang committe|co-occurring
chang correct|co-occurring
chang date|co-occurring
chang except|co-occurring
chang exist|co-occurring
chang figur|co-occurring
chang general|co-occurring
chang gentleman|co-occurring
chang h|co-occurring
chang hous|co-occurring
chang languag|co-occurring
chang line|co-occurring
chang modifi|co-occurring
chang number|co-occurring
chang order|co-occurring
chang outcom|co-occurring
chang phraseolog|co-occurring
chang read|co-occurring
chang refer|co-occurring
chang reflect|co-occurring
chang report|co-occurring
chang request|co-occurring
chang resolut|co-occurring
chang salari|co-occurring
chang section|co-occurring
chang shall|co-occurring
chang substanc|co-occurring
chang suggest|co-occurring
chang text|co-occurring
chang titl|co-occurring
chang total|co-occurring
chang word|co-occurring
charact amend|co-occurring
charact bill|co-occurring
charact pass|co-occurring
charact propos|co-occurring
charact public|co-occurring
charact refer|co-occurring
charact shall|co-occurring
charg amend|co-occurring
charg appropri|co-occurring
charg ask|co-occurring
charg committe|co-occurring
charg desert|co-occurring
charg either|co-occurring
charg equal|co-occurring
charg gentleman|co-occurring
charg legisl|co-occurring
charg matter|co-occurring
charg measur|co-occurring
charg neither|co-occurring
charg pend|co-occurring
charg report|co-occurring
charg resolut|co-occurring
charg senat|co-occurring
charg side|co-occurring
charg subject|co-occurring
charg time|co-occurring
chargeabl whole|co-occurring
check senat|co-occurring
chemic schedul|co-occurring
chief clerk|co-occurring
chile amend|co-occurring
choos presid|co-occurring
choos senat|co-occurring
choos vote|co-occurring
chosen everi|co-occurring
chosen legislatur|co-occurring
circuit district|co-occurring
circuit judg|co-occurring
circumst amend|co-occurring
circumst ask|co-occurring
circumst committe|co-occurring
circumst feel|co-occurring
circumst gentleman|co-occurring
circumst mr|co-occurring
circumst senat|co-occurring
circumst shall|co-occurring
circumst vote|co-occurring
cite contempt|co-occurring
cite gentleman|co-occurring
cite nation|co-occurring
cite preced|co-occurring
civil appropri|co-occurring
civil bill|co-occurring
civil expens|co-occurring
civil function|co-occurring
civil servic|co-occurring
civilright bill|co-occurring
civilright legisl|co-occurring
civilservic rule|co-occurring
claim amend|co-occurring
claim appropri|co-occurring
claim ask|co-occurring
claim bill|co-occurring
claim charact|co-occurring
claim committe|co-occurring
claim consid|co-occurring
claim consider|co-occurring
claim examin|co-occurring
claim favor|co-occurring
claim gentleman|co-occurring
claim hear|co-occurring
claim hous|co-occurring
claim investig|co-occurring
claim jurisdict|co-occurring
claim last|co-occurring
claim matter|co-occurring
claim member|co-occurring
claim order|co-occurring
claim pass|co-occurring
claim privileg|co-occurring
claim proper|co-occurring
claim purpos|co-occurring
claim question|co-occurring
claim refer|co-occurring
